circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,19.216760000097565,None,z,63.51810019998811,19.216760000097565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,82.91534100007266,83.91764960007276,84.4012491001049,85.40241610002704,85.9074412001064,86.91745280008763,z,1.2853919999906793,85.9074412001064,None,85.9074412001064,None,87.25156680005603,None,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
2,2_circles_lined.png,"(0.5, 0.25)",There were 3 circles,No,m,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,88.28594970004633,89.30198410002049,89.76813730003778,90.7673564000288,91.27609780000057,None,m,0.9441226000199094,91.27609780000057,None,91.27609780000057,None,92.25381680007558,None,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,93.33010300004389,94.33414010005072,94.817430300056,95.81928290007636,96.32582050003111,97.34799540007953,z,1.0408742000581697,96.32582050003111,None,96.32582050003111,None,97.39196520007681,None,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_lined.png,"(0.5, 0.5)",There were 5 circles,No,m,,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,98.47190090001095,99.48401110002305,99.96739000000525,100.96913480001967,101.4754143001046,None,m,0.7736200999934226,101.4754143001046,None,101.4754143001046,None,102.28817430010531,None,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,103.36259490007069,104.3662900000345,104.85099910001736,105.85185560001992,106.34212270006537,None,m,0.6454619000433013,106.34212270006537,None,106.34212270006537,None,107.01243540004361,None,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,108.06506560009439,109.06710720004048,109.55098699999508,110.55058250005823,111.05201370001305,None,z,0.5931251000147313,111.05201370001305,None,111.05201370001305,None,111.66423019999638,None,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,112.78467030008323,None,z,2.694757599965669,112.78467030008323,None,115.52041200001258,None,115.52041200001258,None,117.77874350000639,118.78362680005375,120.26987370010465,121.2834841000149,119.26730290008709,119.76699280005414,z,1.5898333999793977,120.26987370010465,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
2,2_circles_lined.png,"(0.5, 0.25)",There were 4 circles,No,m,Low,Yes,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.91440500004683,122.91686780005693,124.4002473000437,None,123.40045310009737,123.90078030002769,m,0.6287167998962104,124.4002473000437,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.09640810010023,126.10029880004004,127.58527800010052,None,126.58383320004214,127.0847497000359,z,0.5779427000088617,127.58527800010052,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
5,5_circles_lined.png,"(0.75, 0.5)",There were 6 circles,No,m,Low,Yes,0,0,0,0,,,,,0,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.29596230003517,129.2996651000576,130.78595750010572,None,129.78372800000943,130.28417980007362,m,0.62598499993328,130.78595750010572,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_notlined.png,"(0.6, 0.5)",There were 3 circles,No,m,Low,No,0,0,0,0,,,,,0,4,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.5158389999997,132.51741420000326,134.00262640009169,None,133.00117010006215,133.51623100007419,m,0.5235148000065237,134.00262640009169,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
5,5_circles_notlined.png,"(0.7, 0.5)",There were 4 circles,No,m,Low,No,0,0,0,0,,,,,0,5,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.6852072000038,135.69981580006424,137.18611230002716,None,136.18401490000542,136.68403580004815,m,0.4855782000813633,137.18611230002716,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 2 circles,No,m,Low,No,0,0,0,0,,,,,0,6,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.75341010000557,138.76618770009372,140.2513105000835,None,139.25055980007164,139.74970860010944,m,0.46720090007875115,140.2513105000835,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_lined.png,"(0.5, 0.5)",There were 3 circles,No,m,Low,Yes,0,0,0,0,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.79606900003273,141.79947040008847,143.28475560003426,None,142.28318820009008,142.7839698001044,m,0.4167824999894947,143.28475560003426,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_notlined.png,"(0.6, 0.5)",There were 4 circles,Yes,z,Low,No,0,0,0,0,,,,,0,8,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.81651900010183,144.81663040001877,146.30125590006355,None,145.29995200003032,145.80062920006458,z,0.3653235000092536,146.30125590006355,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,Low,No,0,0,0,0,,,,,0,9,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.7274443000788,147.73177230008878,149.21642210008577,None,148.2164818000747,148.7166655000765,m,0.3875365999992937,149.21642210008577,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_lined.png,"(0.5, 0.5)",There were 4 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.68372190010268,150.69826530001592,152.1660397000378,None,151.16679240006488,151.6674071000889,z,0.37781219999305904,152.1660397000378,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
3,3_circles_lined.png,"(0.75, 0.25)",There were 4 circles,No,m,Low,Yes,0,0,0,0,,,,,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.60483910003677,153.61611270008143,155.09900560008828,None,154.09954790002666,154.5996932000853,m,0.4759901000652462,155.09900560008828,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
3,3_circles_lined.png,"(0.75, 0.25)",There were 3 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.65483630006202,156.66528050007764,158.15262470010202,None,157.15000040002633,157.64969330001622,z,0.4260359000181779,158.15262470010202,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
5,5_circles_lined.png,"(0.75, 0.5)",There were 5 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.7024280000478,159.71537510002963,161.19667320000008,None,160.1830939000938,160.6837824000977,z,0.4527912000194192,161.19667320000008,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
3,3_circles_lined.png,"(0.75, 0.25)",There were 3 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,14,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.7204946000129,162.73219870007597,164.2182830000529,None,163.21637550008018,163.7165739000775,z,0.41434149991255254,164.2182830000529,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,Low,No,0,0,0,0,,,,,0,15,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.69469250005204,165.6993688000366,167.1829529000679,None,166.18228599999566,166.68290780007374,z,0.38047800003550947,167.1829529000679,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
5,5_circles_lined.png,"(0.75, 0.5)",There were 5 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,16,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.64535050000995,168.64928160002455,170.13497330003884,None,169.13295460003428,169.63325180008542,m,0.3959064999362454,170.13497330003884,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
5,5_circles_lined.png,"(0.75, 0.5)",There were 4 circles,No,m,Low,Yes,0,0,0,0,,,,,0,17,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.61166789999697,171.61489680001978,173.10229790001176,None,172.09926260006614,172.59991840005387,m,0.37160050007514656,173.10229790001176,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
2,2_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,Low,No,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.53399650007486,174.54924540000502,176.01584230002481,None,175.0161611000076,175.51588410011027,m,0.4747920000227168,176.01584230002481,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
5,5_circles_notlined.png,"(0.7, 0.5)",There were 5 circles,Yes,z,Low,No,0,0,0,0,,,,,0,19,19,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.6272411000682,177.63252100010868,179.11733220005408,None,178.1161645000102,178.61637290008366,z,0.5129413999384269,179.11733220005408,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
2,2_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,No,m,Low,No,0,0,0,0,,,,,0,20,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.7050171000883,180.71580100001302,182.2004912000848,None,181.19912890007254,181.69917260005604,m,0.471722099930048,182.2004912000848,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
2,2_circles_lined.png,"(0.5, 0.25)",There were 3 circles,No,m,Low,Yes,0,0,0,0,,,,,0,21,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.72681200003717,183.73220270010643,185.2159804000985,None,184.21592700004112,184.7159532000078,m,0.5100929000182077,185.2159804000985,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
5,5_circles_notlined.png,"(0.7, 0.5)",There were 6 circles,No,m,Low,No,0,0,0,0,,,,,0,22,22,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.86508490005508,186.8656962000532,188.34830860001966,None,187.34936580003705,187.84941100003198,m,0.5058523999759927,188.34830860001966,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,23,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.92657420004252,189.93229000002611,191.41626820003148,None,190.41606499999762,190.91503050003666,z,0.3931307999882847,191.41626820003148,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
2,2_circles_notlined.png,"(0.5, 0.5)",There were 2 circles,Yes,z,Low,No,0,0,0,0,,,,,0,24,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.87181220005732,192.88205180002842,194.3685311001027,None,193.36551310005598,193.86552870005835,z,0.363828600035049,194.3685311001027,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_notlined.png,"(0.6, 0.5)",There were 4 circles,Yes,z,Low,No,0,0,0,0,,,,,0,25,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.86800520005636,195.884231400094,197.35068320005666,None,196.34918570006266,196.84873580001295,z,0.38690070004668087,197.35068320005666,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
